FPGA,ASIC,Connector,Crystal,SiPM,Channel
0,1,2,4,1,135
3,1,0,9,1,510
3,1,1,14,1,530
0,0,0,19,1,6
3,0,1,24,1,458
2,1,0,3,1,366
1,1,2,8,1,279
1,1,0,13,1,222
1,1,3,18,1,262
2,1,3,23,1,406
2,1,1,2,1,386
1,0,2,7,1,207
1,0,0,12,1,150
1,0,3,17,1,190
3,0,0,22,1,438
2,1,2,1,1,423
2,0,0,6,1,294
1,1,1,11,1,242
2,0,1,16,1,314
3,0,2,21,1,495
2,0,3,0,1,334
0,1,1,5,1,98
0,1,3,10,1,118
1,0,1,15,1,170
2,0,2,20,1,351
