FPGA,ASIC,Connector,Crystal,SiPM,Channel
3,1,3,8,10,547
3,1,3,8,11,543
3,1,3,8,12,553
3,1,3,8,13,549
3,1,3,8,14,545
3,1,3,8,15,541
1,1,1,13,0,236
1,1,1,13,1,240
1,1,1,13,2,245
1,1,1,13,3,249
1,1,1,13,4,234
1,1,1,13,5,238
1,1,1,13,6,243
1,1,1,13,7,247
1,1,1,13,8,235
1,1,1,13,9,239
1,1,1,13,10,244
1,1,1,13,11,248
1,1,1,13,12,237
1,1,1,13,13,241
1,1,1,13,14,246
1,1,1,13,15,250
0,1,2,18,0,139
0,1,2,18,1,135
0,1,2,18,2,131
0,1,2,18,3,127
0,1,2,18,4,141
0,1,2,18,5,137
0,1,2,18,6,133
0,1,2,18,7,129
0,1,2,18,8,142
0,1,2,18,9,138
0,1,2,18,10,132
0,1,2,18,11,128
0,1,2,18,12,140
0,1,2,18,13,136
0,1,2,18,14,130
0,1,2,18,15,126
2,1,3,23,0,410
2,1,3,23,1,406
2,1,3,23,2,400
2,1,3,23,3,396
2,1,3,23,4,412
2,1,3,23,5,408
2,1,3,23,6,402
2,1,3,23,7,398
2,1,3,23,8,411
2,1,3,23,9,407
2,1,3,23,10,403
2,1,3,23,11,399
2,1,3,23,12,409
2,1,3,23,13,405
2,1,3,23,14,401
2,1,3,23,15,397
1,0,2,2,0,211
1,0,2,2,1,207
1,0,2,2,2,203
1,0,2,2,3,199
1,0,2,2,4,213
1,0,2,2,5,209
1,0,2,2,6,205
1,0,2,2,7,201
1,0,2,2,8,214
1,0,2,2,9,210
1,0,2,2,10,204
1,0,2,2,11,200
1,0,2,2,12,212
1,0,2,2,13,208
1,0,2,2,14,202
1,0,2,2,15,198
2,1,0,7,0,362
2,1,0,7,1,366
2,1,0,7,2,371
2,1,0,7,3,375
2,1,0,7,4,360
2,1,0,7,5,364
2,1,0,7,6,369
2,1,0,7,7,373
2,1,0,7,8,361
2,1,0,7,9,365
2,1,0,7,10,370
2,1,0,7,11,374
2,1,0,7,12,363
2,1,0,7,13,367
2,1,0,7,14,372
2,1,0,7,15,376
2,0,3,12,0,338
2,0,3,12,1,334
2,0,3,12,2,328
2,0,3,12,3,324
2,0,3,12,4,340
2,0,3,12,5,336
2,0,3,12,6,330
2,0,3,12,7,326
2,0,3,12,8,339
2,0,3,12,9,335
2,0,3,12,10,331
2,0,3,12,11,327
2,0,3,12,12,337
2,0,3,12,13,333
2,0,3,12,14,329
2,0,3,12,15,325
3,0,1,17,0,452
3,0,1,17,1,456
3,0,1,17,2,461
3,0,1,17,3,465
3,0,1,17,4,450
3,0,1,17,5,454
3,0,1,17,6,459
3,0,1,17,7,463
3,0,1,17,8,451
3,0,1,17,9,455
3,0,1,17,10,460
3,0,1,17,11,464
3,0,1,17,12,453
3,0,1,17,13,457
3,0,1,17,14,462
3,0,1,17,15,466
0,0,0,22,0,2
0,0,0,22,1,6
0,0,0,22,2,11
0,0,0,22,3,15
0,0,0,22,4,0
0,0,0,22,5,4
0,0,0,22,6,9
0,0,0,22,7,13
0,0,0,22,8,1
0,0,0,22,9,5
0,0,0,22,10,10
0,0,0,22,11,14
0,0,0,22,12,3
0,0,0,22,13,7
0,0,0,22,14,12
0,0,0,22,15,16
3,0,0,1,0,434
3,0,0,1,1,438
3,0,0,1,2,443
3,0,0,1,3,447
3,0,0,1,4,432
3,0,0,1,5,436
3,0,0,1,6,441
3,0,0,1,7,445
3,0,0,1,8,433
3,0,0,1,9,437
3,0,0,1,10,442
3,0,0,1,11,446
3,0,0,1,12,435
3,0,0,1,13,439
3,0,0,1,14,444
3,0,0,1,15,448
0,1,3,6,0,122
0,1,3,6,1,118
0,1,3,6,2,112
0,1,3,6,3,108
0,1,3,6,4,124
0,1,3,6,5,120
0,1,3,6,6,114
0,1,3,6,7,110
0,1,3,6,8,123
0,1,3,6,9,119
0,1,3,6,10,115
0,1,3,6,11,111
0,1,3,6,12,121
0,1,3,6,13,117
0,1,3,6,14,113
0,1,3,6,15,109
2,0,2,11,0,355
2,0,2,11,1,351
2,0,2,11,2,347
2,0,2,11,3,343
2,0,2,11,4,357
2,0,2,11,5,353
2,0,2,11,6,349
2,0,2,11,7,345
2,0,2,11,8,358
2,0,2,11,9,354
2,0,2,11,10,348
2,0,2,11,11,344
2,0,2,11,12,356
2,0,2,11,13,352
2,0,2,11,14,346
2,0,2,11,15,342
0,0,2,16,0,67
0,0,2,16,1,63
0,0,2,16,2,59
0,0,2,16,3,55
0,0,2,16,4,69
0,0,2,16,5,65
0,0,2,16,6,61
0,0,2,16,7,57
0,0,2,16,8,70
0,0,2,16,9,66
0,0,2,16,10,60
0,0,2,16,11,56
0,0,2,16,12,68
0,0,2,16,13,64
0,0,2,16,14,58
0,0,2,16,15,54
0,1,1,21,0,92
0,1,1,21,1,96
0,1,1,21,2,101
0,1,1,21,3,105
0,1,1,21,4,90
0,1,1,21,5,94
0,1,1,21,6,99
0,1,1,21,7,103
0,1,1,21,8,91
0,1,1,21,9,95
0,1,1,21,10,100
0,1,1,21,11,104
0,1,1,21,12,93
0,1,1,21,13,97
0,1,1,21,14,102
0,1,1,21,15,106
2,1,2,0,0,427
2,1,2,0,1,423
2,1,2,0,2,419
2,1,2,0,3,415
2,1,2,0,4,429
2,1,2,0,5,425
2,1,2,0,6,421
2,1,2,0,7,417
2,1,2,0,8,430
2,1,2,0,9,426
2,1,2,0,10,420
2,1,2,0,11,416
2,1,2,0,12,428
2,1,2,0,13,424
2,1,2,0,14,418
2,1,2,0,15,414
1,0,1,5,0,164
1,0,1,5,1,168
1,0,1,5,2,173
1,0,1,5,3,177
1,0,1,5,4,162
1,0,1,5,5,166
1,0,1,5,6,171
1,0,1,5,7,175
1,0,1,5,8,163
1,0,1,5,9,167
1,0,1,5,10,172
1,0,1,5,11,176
1,0,1,5,12,165
1,0,1,5,13,169
1,0,1,5,14,174
1,0,1,5,15,178
1,1,3,10,0,266
1,1,3,10,1,262
1,1,3,10,2,256
1,1,3,10,3,252
1,1,3,10,4,268
1,1,3,10,5,264
1,1,3,10,6,258
1,1,3,10,7,254
1,1,3,10,8,267
1,1,3,10,9,263
1,1,3,10,10,259
1,1,3,10,11,255
1,1,3,10,12,265
1,1,3,10,13,261
1,1,3,10,14,257
1,1,3,10,15,253
2,0,1,15,0,308
2,0,1,15,1,312
2,0,1,15,2,317
2,0,1,15,3,321
2,0,1,15,4,306
2,0,1,15,5,310
2,0,1,15,6,315
2,0,1,15,7,319
2,0,1,15,8,307
2,0,1,15,9,311
2,0,1,15,10,316
2,0,1,15,11,320
2,0,1,15,12,309
2,0,1,15,13,313
2,0,1,15,14,318
2,0,1,15,15,322
1,1,2,20,0,283
1,1,2,20,1,279
1,1,2,20,2,275
1,1,2,20,3,271
1,1,2,20,4,285
1,1,2,20,5,281
1,1,2,20,6,277
1,1,2,20,7,273
1,1,2,20,8,286
1,1,2,20,9,282
1,1,2,20,10,276
1,1,2,20,11,272
1,1,2,20,12,284
1,1,2,20,13,280
1,1,2,20,14,274
1,1,2,20,15,270
